draw_no,date,n1,n2,n3,n4,n5,n6,bonus,sales,w1_prize,w1_winners,w2_prize,w2_winners,w3_prize,w3_winners,w4_prize,w4_winners,w5_prize,w5_winners,auto,semi_auto,manual
1,2002-12-07,10,23,29,33,37,40,16,3681782000,0,0,143934100,1,5140500,28,113400,2537,10000,40155,,,
2,2002-12-14,9,13,21,25,32,42,2,4904274000,2002006800,1,94866800,2,1842000,103,100800,3763,10000,55480,,,
3,2002-12-21,11,16,19,21,27,31,30,4729342000,2000000000,1,0,0,1174100,139,54900,5940,10000,73256,,,
4,2002-12-28,14,27,30,31,40,42,2,5271464000,0,0,211191200,1,7282400,29,152100,2777,10000,52382,,,
5,2003-01-04,16,24,29,40,41,42,3,6277102000,0,0,0,0,6033800,42,166500,3043,10000,60434,,,
6,2003-01-11,14,15,26,27,40,42,34,15305356000,6574451700,1,196297600,3,4267300,138,87600,13445,10000,176375,,,
7,2003-01-18,2,9,16,25,26,40,42,12794890000,0,0,48165000,9,1605500,270,65500,13229,10000,206259,,,
8,2003-01-25,8,19,25,34,37,39,9,20751450000,0,0,131555000,6,2268100,348,110500,14279,10000,248242,,,
9,2003-02-01,2,4,16,17,36,39,14,73624020000,0,0,769456500,4,8743800,352,260000,23672,10000,603375,,,
10,2003-02-08,9,25,30,33,41,44,6,260856392000,6430437900,13,40813400,236,856400,11247,27300,703234,10000,3410846,,,
11,2003-02-15,1,7,36,37,41,42,14,91925306000,4780152300,5,362132700,11,9307100,428,206800,38515,10000,612805,,,
12,2003-02-22,2,11,21,25,39,45,44,76255508000,1348845700,12,99914400,27,1417500,1903,70200,76845,10000,1115084,,,
13,2003-03-01,22,23,25,37,38,42,26,66532136000,0,0,433309300,6,5777400,450,175600,29601,10000,726751,,,
14,2003-03-08,2,6,12,31,33,40,15,99838648000,9375048300,4,130363400,28,2568700,1421,93900,77736,10000,1341756,,,
15,2003-03-15,3,4,16,30,31,37,13,73264910000,17014245000,1,177231700,16,5571100,509,144600,39202,10000,827538,,,
16,2003-03-22,6,7,24,37,38,40,33,75777348000,4377146100,4,243174700,12,3385200,862,123500,47255,10000,870770,,,
17,2003-03-29,3,4,9,17,32,37,1,72718152000,5349491200,3,297193900,9,2342100,1142,86700,61651,10000,961162,,,
18,2003-04-05,3,12,13,19,32,35,29,66371660000,0,0,175017300,15,3953700,664,136500,38453,10000,693323,,,
19,2003-04-12,6,30,38,39,40,43,26,105957818000,40722959400,1,297278500,14,5971100,697,150900,55154,10000,1135991,,,
20,2003-04-19,10,14,18,20,23,30,41,81056776000,19352212800,1,230383400,14,3632100,888,133900,48158,10000,827470,,,
21,2003-04-26,6,12,17,18,31,32,21,84247142000,797475400,23,117576500,26,1522400,2008,73600,82996,10000,1155368,,,
22,2003-05-03,4,5,6,8,17,39,25,79455152000,4552194900,4,94837300,32,3669600,827,113900,53248,10000,937961,,,
23,2003-05-10,5,13,17,18,33,42,44,77374256000,4317947700,4,125157900,23,2098100,1372,90300,63717,10000,990081,,,
24,2003-05-17,7,8,27,29,36,43,6,78486634000,0,0,176023700,18,3425300,925,120000,52777,10000,755905,,,
25,2003-05-24,2,4,21,26,43,44,16,120073768000,24227745300,2,175267400,28,4417100,1111,166600,58903,10000,1096200,,,
